Date,Symbol,Open,High,Low,Close,Volume,,
29-06-2011,ULTRACEMCO,962,963,949,956.7,24886,,
30-06-2011,ULTRACEMCO,959,964.85,915.55,929.9,164882,,
01-07-2011,ULTRACEMCO,937,941.5,920.3,936.05,321160,,
04-07-2011,ULTRACEMCO,939.7,958,917.95,949.85,145671,,
05-07-2011,ULTRACEMCO,943.15,967.2,941.1,963.2,166978,,
06-07-2011,ULTRACEMCO,942.3,975.65,942.3,961.05,77813,,
07-07-2011,ULTRACEMCO,960,1003.3,956.55,984.8,141558,,
08-07-2011,ULTRACEMCO,983.5,993.95,975.15,981.65,36894,,
11-07-2011,ULTRACEMCO,975.2,1003,959,978.55,155645,,
12-07-2011,ULTRACEMCO,980,983,966,977.8,29145,,
13-07-2011,ULTRACEMCO,977.75,997.9,965.5,991.85,38627,,
14-07-2011,ULTRACEMCO,987.15,998,985,993,60976,,
